ID;МОДЕЛЬ;ТИП;ОПИСАНИЕ
1024082;АСА (IVECO MAGIRUS RW-DAILY 65C18D);АСА;Аварийно-спасательный автомобиль
1025586;АНР-40-800/43253/;АН;Автонасос
1025591;АНР-40-800/43253/;АН;Автонасос
1025686;ДЛК-52 Варио СС - шасси:Ивеко;АЛ;Автолестница пожарная
1025951;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1025957;АСА (IVECO Magirus RW-Daily 70C15D);АСА;Аварийно-спасательный автомобиль
1026126;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026128;ТП-34/F 34 HDT Mercedes-Actros/ - шасси:Mercedes;КП;Коленчатые автомобильные подъемники пожарные
1026135;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026139;АБГ-3/Ивеко ML100E18 - шасси:Ивеко;АБГ;Передвижная база газодымозащитной службы
1026144;АЛ-30/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1026148;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026151;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026153;АЛ-30/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1026161;АЛ-55/DLK-55 CS/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1026174;АЛ-55/DLK-55 CS/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1026177;ДЛК-52 Варио СС - шасси:Ивеко;АЛ;Автолестница пожарная
1026180;АЦ-6.0-40/53215/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026199;АЦ-8.0-70/43118/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026210;АЦ-6.0-70/4/МАН/ - шасси:МАН;АЦ;Автоцистерна с насосом высокого давления
1026211;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026214;ДЛ-50/Ивеко-Магирус/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1026215;СПАСА - шасси:Ивеко;СПАСА;Специальный пожарный аварийно-спасательный автомобиль
1026216;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026218;АЦ-2.0-40/4/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026219;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026221;АЦ-6.0-70/4/МАН/ - шасси:МАН;АЦ;Автоцистерна с насосом высокого давления
1026224;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026227;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026228;АЦ-2.5-40/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026234;АЛ-30/DLK 23-12 CS GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1026236;АСА (IVECO MAGIRUS RW-DAILY 65C18D);АСА;Аварийно-спасательный автомобиль
1026243;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026244;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1026274;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1031553;АЦ-3.0-40/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1031638;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1031644;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032386;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032389;АСА (MERCEDES-BENZ SPRINTER MB413);АСА;Аварийно-спасательный автомобиль
1032392;АСА (IVECO Magirus RW-Daily 70C15D);АСА;Аварийно-спасательный автомобиль
1032393;АЛ-30/DLK 23-12 n.B. GL/ - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1032395;АСА (IVECO Magirus RW-Daily 70C15D);АСА;Аварийно-спасательный автомобиль
1032396;АЛ-32/М32L-АS - шасси:Ивеко;АЛ;Автолестница длиной 30 метров
1032399;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032402;АПТ-6.5-40/53215/;ВП;Автомобиль воздушно-пенного тушения
1032405;АЦ-3.2-40/4/43253/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032407;ТП-54/F 54 HDT Мерседес Актрос/ - шасси:Mercedes;КП;Коленчатые автомобильные подъемники пожарные
1032411;АПТ-5.0-50/43253/;ВП;Автомобиль воздушно-пенного тушения
1032412;АЛ-55/DLK-55 CS/ - шасси:Ивеко;АЛ;Автолестница длиной 50 метров
1032414;АЦ-2.5-40/4308/ - шасси:КамАЗ;АЦ;Автоцистерна с насосом высокого давления
1032415;СПАСА - шасси:Ивеко;СПАСА;Специальный пожарный аварийно-спасательный автомобиль
1032420;АСА (IVECO MAGIRUS RW-DAILY 65C18D);АСА;Аварийно-спасательный автомобиль
